Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BUZZER1,YS-SBZ9032C03R16_C409828,BUZ-SMD_FUET-9025-XXV,5.2,0.5,-90.0,top
C1,47uF,C_0805_2012Metric,-8.814,-7.569,-90.0,top
C2,100nF,C_0805_2012Metric,-10.846,-7.569,-90.0,top
C3,100nF,C_0805_2012Metric,8.966,10.719,0.0,top
C4,100nF,C_0805_2012Metric,-5.65,9.7,-90.0,top
J2,Conn_01x03_Pin,UPDI PinHeader_1x03_P1.27mm_Vertical,-8.814,-10.998,90.0,top
Q1,BSS138,SOT-23,10.15,-7.95,0.0,top
R1,10k,R_0805_2012Metric,-3.1,9.7,-90.0,top
R2,10k,R_0805_2012Metric,-7.798,9.7284,-90.0,top
R3,10k,R_0805_2012Metric,-9.8,9.7,-90.0,top
R4,100k,R_0805_2012Metric,7.4,-7.95,-90.0,top
R6,10K,R_0805_2012Metric,-6.401,-7.569,-90.0,top
R7,1k,R_0805_2012Metric,5.45,-7.95,-90.0,top
U1,ATtiny412-SS,SOIC-8_3.9x4.9mm_P1.27mm,-6.425,-1.705,270.0,top
U2,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,-5.766,4.115,90.0,top
